task_id,task_type,source_type,samples_path,sample_id_col,crs,labels_path,task_meta_path,source,license,label_cols,renormalize_distribution,city,task,label_col,normalization,label_id_col,class_names,split_method,n_blocks,availability,release_note
new_york.nightlight.2024,regression,samples,../tasks/new_york.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.nightlight.2024/labels.tif,../tasks/new_york.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",Public domain,,,new_york,nightlight,label,zscore,,,spatial_block,10.0,full,
new_york.pm25.2022,regression,samples,../tasks/new_york.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.pm25.2022/labels.tif,../tasks/new_york.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",CIESIN open data policy; cite DOI 10.7927/as2r-9p42,,,new_york,pm25,label,zscore,,,,,full,
new_york.lst_day_mean.2024,regression,samples,../tasks/new_york.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.lst_day_mean.2024/labels.tif,../tasks/new_york.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024","NASA/LP DAAC MODIS data; no restrictions on subsequent use, sale, or redistribution; cite DOI 10.5067/MODIS/MOD11A2.061",,,new_york,lst_day_mean,label,zscore,,,,,full,
singapore.landuse.2026,classification,samples,../tasks/singapore.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/singapore.landuse.2026/task.json,"URA Master Plan 2019 Land Use layer via data.gov.sg, harmonized to benchmark land-use groups",Singapore Open Data Licence,,,singapore,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0,full,
singapore.road_density.2026,regression,samples,../tasks/singapore.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.road_density.2026/labels.tif,../tasks/singapore.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",ODbL 1.0; attribution required for OpenStreetMap contributors,,,singapore,road_density,label,zscore,,,,,full,
singapore.population.2024,regression,samples,../tasks/singapore.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.population.2024/labels.tif,../tasks/singapore.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",CC BY 4.0,,,singapore,population,label,zscore,,,,,full,
singapore.age_distribution.2024,distribution,samples,../tasks/singapore.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.age_distribution.2024/labels.tif,../tasks/singapore.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024",CC BY 4.0,"[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,singapore,age_distribution,,,,,,,full,
singapore.gdp.2024,regression,samples,../tasks/singapore.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.gdp.2024/labels.tif,../tasks/singapore.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",CC BY 4.0,,,singapore,gdp,label,zscore,,,,,full,
singapore.nightlight.2024,regression,samples,../tasks/singapore.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.nightlight.2024/labels.tif,../tasks/singapore.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",Public domain,,,singapore,nightlight,label,zscore,,,spatial_block,10.0,full,
singapore.pm25.2022,regression,samples,../tasks/singapore.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.pm25.2022/labels.tif,../tasks/singapore.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",CIESIN open data policy; cite DOI 10.7927/as2r-9p42,,,singapore,pm25,label,zscore,,,,,full,
singapore.lst_day_mean.2024,regression,samples,../tasks/singapore.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.lst_day_mean.2024/labels.tif,../tasks/singapore.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024","NASA/LP DAAC MODIS data; no restrictions on subsequent use, sale, or redistribution; cite DOI 10.5067/MODIS/MOD11A2.061",,,singapore,lst_day_mean,label,zscore,,,,,full,
sydney.landuse.2026,classification,samples,../tasks/sydney.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/sydney.landuse.2026/task.json,"NSW Environmental Planning Instrument Land Zoning service, harmonized to benchmark land-use groups",Creative Commons Attribution; NSW Environmental Planning Instrument Land Zoning WFS,,,sydney,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0,full,
sydney.road_density.2026,regression,samples,../tasks/sydney.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.road_density.2026/labels.tif,../tasks/sydney.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",ODbL 1.0; attribution required for OpenStreetMap contributors,,,sydney,road_density,label,zscore,,,,,full,
sydney.population.2024,regression,samples,../tasks/sydney.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.population.2024/labels.tif,../tasks/sydney.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",CC BY 4.0,,,sydney,population,label,zscore,,,,,full,
sydney.age_distribution.2024,distribution,samples,../tasks/sydney.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.age_distribution.2024/labels.tif,../tasks/sydney.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024",CC BY 4.0,"[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,sydney,age_distribution,,,,,,,full,
sydney.gdp.2024,regression,samples,../tasks/sydney.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.gdp.2024/labels.tif,../tasks/sydney.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",CC BY 4.0,,,sydney,gdp,label,zscore,,,,,full,
sydney.nightlight.2024,regression,samples,../tasks/sydney.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.nightlight.2024/labels.tif,../tasks/sydney.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",Public domain,,,sydney,nightlight,label,zscore,,,spatial_block,10.0,full,
sydney.pm25.2022,regression,samples,../tasks/sydney.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.pm25.2022/labels.tif,../tasks/sydney.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",CIESIN open data policy; cite DOI 10.7927/as2r-9p42,,,sydney,pm25,label,zscore,,,,,full,
sydney.lst_day_mean.2024,regression,samples,../tasks/sydney.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.lst_day_mean.2024/labels.tif,../tasks/sydney.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024","NASA/LP DAAC MODIS data; no restrictions on subsequent use, sale, or redistribution; cite DOI 10.5067/MODIS/MOD11A2.061",,,sydney,lst_day_mean,label,zscore,,,,,full,
mumbai.landuse.2026,classification,samples,../tasks/mumbai.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/mumbai.landuse.2026/task.json,"LoginMumbai / UDRI Existing Land Use 2012 MVT tiles, sourced from MCGM DP 2034 Existing Land Use Maps and Report",CC BY 4.0; source: LoginMumbai/UDRI and MCGM,,,mumbai,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0,full,
mumbai.road_density.2026,regression,samples,../tasks/mumbai.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.road_density.2026/labels.tif,../tasks/mumbai.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",ODbL 1.0; attribution required for OpenStreetMap contributors,,,mumbai,road_density,label,zscore,,,,,full,
mumbai.population.2024,regression,samples,../tasks/mumbai.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.population.2024/labels.tif,../tasks/mumbai.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",CC BY 4.0,,,mumbai,population,label,zscore,,,,,full,
mumbai.age_distribution.2024,distribution,samples,../tasks/mumbai.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.age_distribution.2024/labels.tif,../tasks/mumbai.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024",CC BY 4.0,"[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,mumbai,age_distribution,,,,,,,full,
mumbai.gdp.2024,regression,samples,../tasks/mumbai.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.gdp.2024/labels.tif,../tasks/mumbai.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",CC BY 4.0,,,mumbai,gdp,label,zscore,,,,,full,
mumbai.nightlight.2024,regression,samples,../tasks/mumbai.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.nightlight.2024/labels.tif,../tasks/mumbai.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",Public domain,,,mumbai,nightlight,label,zscore,,,spatial_block,10.0,full,
mumbai.pm25.2022,regression,samples,../tasks/mumbai.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.pm25.2022/labels.tif,../tasks/mumbai.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",CIESIN open data policy; cite DOI 10.7927/as2r-9p42,,,mumbai,pm25,label,zscore,,,,,full,
mumbai.lst_day_mean.2024,regression,samples,../tasks/mumbai.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.lst_day_mean.2024/labels.tif,../tasks/mumbai.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024","NASA/LP DAAC MODIS data; no restrictions on subsequent use, sale, or redistribution; cite DOI 10.5067/MODIS/MOD11A2.061",,,mumbai,lst_day_mean,label,zscore,,,,,full,
nairobi.landuse.2026,classification,samples,../tasks/nairobi.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/nairobi.landuse.2026/task.json,"Nairobi, Kenya Land Use 2010, World Bank Data Catalog / Columbia CSUD, harmonized to benchmark land-use groups",CC BY 4.0,,,nairobi,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0,full,
nairobi.road_density.2026,regression,samples,../tasks/nairobi.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.road_density.2026/labels.tif,../tasks/nairobi.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",ODbL 1.0; attribution required for OpenStreetMap contributors,,,nairobi,road_density,label,zscore,,,,,full,
nairobi.population.2024,regression,samples,../tasks/nairobi.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.population.2024/labels.tif,../tasks/nairobi.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",CC BY 4.0,,,nairobi,population,label,zscore,,,,,full,
nairobi.age_distribution.2024,distribution,samples,../tasks/nairobi.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.age_distribution.2024/labels.tif,../tasks/nairobi.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024",CC BY 4.0,"[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,nairobi,age_distribution,,,,,,,full,
nairobi.gdp.2024,regression,samples,../tasks/nairobi.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.gdp.2024/labels.tif,../tasks/nairobi.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",CC BY 4.0,,,nairobi,gdp,label,zscore,,,,,full,
nairobi.nightlight.2024,regression,samples,../tasks/nairobi.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.nightlight.2024/labels.tif,../tasks/nairobi.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",Public domain,,,nairobi,nightlight,label,zscore,,,spatial_block,10.0,full,
nairobi.pm25.2022,regression,samples,../tasks/nairobi.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.pm25.2022/labels.tif,../tasks/nairobi.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",CIESIN open data policy; cite DOI 10.7927/as2r-9p42,,,nairobi,pm25,label,zscore,,,,,full,
nairobi.lst_day_mean.2024,regression,samples,../tasks/nairobi.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.lst_day_mean.2024/labels.tif,../tasks/nairobi.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024","NASA/LP DAAC MODIS data; no restrictions on subsequent use, sale, or redistribution; cite DOI 10.5067/MODIS/MOD11A2.061",,,nairobi,lst_day_mean,label,zscore,,,,,full,
jakarta.landuse.2026,classification,samples,../tasks/jakarta.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/jakarta.landuse.2026/task.json,"DKI Jakarta RDTR 2022 Rencana Pola Ruang FeatureServer, harmonized to benchmark land-use groups",CC BY 4.0; source: DKI Jakarta RDTR 2022,,,jakarta,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0,full,
jakarta.road_density.2026,regression,samples,../tasks/jakarta.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.road_density.2026/labels.tif,../tasks/jakarta.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",ODbL 1.0; attribution required for OpenStreetMap contributors,,,jakarta,road_density,label,zscore,,,,,full,
jakarta.population.2024,regression,samples,../tasks/jakarta.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.population.2024/labels.tif,../tasks/jakarta.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",CC BY 4.0,,,jakarta,population,label,zscore,,,,,full,
jakarta.age_distribution.2024,distribution,samples,../tasks/jakarta.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.age_distribution.2024/labels.tif,../tasks/jakarta.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024",CC BY 4.0,"[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,jakarta,age_distribution,,,,,,,full,
jakarta.gdp.2024,regression,samples,../tasks/jakarta.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.gdp.2024/labels.tif,../tasks/jakarta.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",CC BY 4.0,,,jakarta,gdp,label,zscore,,,,,full,
jakarta.nightlight.2024,regression,samples,../tasks/jakarta.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.nightlight.2024/labels.tif,../tasks/jakarta.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",Public domain,,,jakarta,nightlight,label,zscore,,,spatial_block,10.0,full,
jakarta.pm25.2022,regression,samples,../tasks/jakarta.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.pm25.2022/labels.tif,../tasks/jakarta.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",CIESIN open data policy; cite DOI 10.7927/as2r-9p42,,,jakarta,pm25,label,zscore,,,,,full,
jakarta.lst_day_mean.2024,regression,samples,../tasks/jakarta.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.lst_day_mean.2024/labels.tif,../tasks/jakarta.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024","NASA/LP DAAC MODIS data; no restrictions on subsequent use, sale, or redistribution; cite DOI 10.5067/MODIS/MOD11A2.061",,,jakarta,lst_day_mean,label,zscore,,,,,full,
cape_town.landuse.2026,classification,samples,../tasks/cape_town.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/cape_town.landuse.2026/task.json,"City of Cape Town Open Data Portal Zoning layer, harmonized to benchmark land-use groups",City of Cape Town Open Data Policy and Open Data Terms; attribute the Planning and Building Development Management Department,,,cape_town,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0,full,
cape_town.road_density.2026,regression,samples,../tasks/cape_town.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.road_density.2026/labels.tif,../tasks/cape_town.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",ODbL 1.0; attribution required for OpenStreetMap contributors,,,cape_town,road_density,label,zscore,,,,,full,
cape_town.population.2024,regression,samples,../tasks/cape_town.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.population.2024/labels.tif,../tasks/cape_town.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",CC BY 4.0,,,cape_town,population,label,zscore,,,,,full,
cape_town.age_distribution.2024,distribution,samples,../tasks/cape_town.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.age_distribution.2024/labels.tif,../tasks/cape_town.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024",CC BY 4.0,"[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,cape_town,age_distribution,,,,,,,full,
cape_town.gdp.2024,regression,samples,../tasks/cape_town.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.gdp.2024/labels.tif,../tasks/cape_town.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",CC BY 4.0,,,cape_town,gdp,label,zscore,,,,,full,
cape_town.nightlight.2024,regression,samples,../tasks/cape_town.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.nightlight.2024/labels.tif,../tasks/cape_town.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",Public domain,,,cape_town,nightlight,label,zscore,,,spatial_block,10.0,full,
cape_town.pm25.2022,regression,samples,../tasks/cape_town.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.pm25.2022/labels.tif,../tasks/cape_town.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",CIESIN open data policy; cite DOI 10.7927/as2r-9p42,,,cape_town,pm25,label,zscore,,,,,full,
cape_town.lst_day_mean.2024,regression,samples,../tasks/cape_town.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.lst_day_mean.2024/labels.tif,../tasks/cape_town.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024","NASA/LP DAAC MODIS data; no restrictions on subsequent use, sale, or redistribution; cite DOI 10.5067/MODIS/MOD11A2.061",,,cape_town,lst_day_mean,label,zscore,,,,,full,
